Property_id,rent
4394,471.29768478440536
2338,499.8899694732413
8531,977.1247089237861
8952,360.3610982820437
11064,190.87822880646115
10336,586.0934157299059
12954,891.0678317419575
219,475.68971907417625
1599,681.5234532985806
7572,468.68156173679085
170,653.1553489456795
6658,333.895371623894
3616,257.59266911019694
7772,347.46389828414067
1214,627.9909961337473
8197,451.5512645466531
9892,394.89018695306095
1635,1089.0903214661332
7403,1002.9466934316023
4468,277.98977627105796
13081,505.3216683319261
13917,290.898719415586
4049,1444.8116787889699
2145,387.86991681870836
2125,621.0458771688606
1580,620.2324160737613
3828,627.778538887182
10858,502.85620665933493
2999,593.7036510431129
3834,519.9368408321534
11267,489.95516836524985
11904,831.5000200400684
5514,699.4516374310693
8697,297.40558864667366
3466,635.098869213369
8217,742.3346313685448
4230,247.84410841019042
10598,303.41624934687474
2920,508.2374405847941
328,604.3534387831965
10668,1032.1494261877306
2911,483.0100494003632
5039,654.619476906632
7590,431.73059666155564
5757,504.8216427838407
9697,424.92276371651286
3859,835.713753976707
11365,554.6624356565868
1984,579.8764514858383
6033,523.429052360785
10816,255.44028517025572
11981,513.8302814069149
7883,389.28438176234164
6166,476.1279688079752
7769,414.7738932106571
8087,389.12162764760666
5504,353.41597931715705
11853,306.8958673789777
7768,171.6970931570412
9232,177.07561387921243
9695,629.5678455417733
7477,913.8121419747374
12232,678.1732757399249
6795,446.583695724967
5624,547.0165557646911
3600,518.5987683372151
11199,339.0874916535847
3681,560.2928054200764
169,534.6155642976747
9531,833.0112692630523
1329,1035.7435507802506
2237,111.63642393348209
1079,700.0708185811337
8500,852.0936272225165
456,652.2590673856025
8010,1134.8370769885519
9407,422.53247327064304
9538,296.0462560033685
3015,374.9558940987693
2583,375.4568113329971
10125,222.93011265826226
11959,471.0343232412917
4878,668.3469607216704
10070,429.64034635026474
7151,169.7728668547291
736,537.2562519180597
12765,1080.3601250721626
3480,154.7194446207028
1800,729.1863941364944
3602,852.9631101074217
8279,842.9423795989544
12788,338.9673992278467
3572,654.456722791897
2925,340.74457180648767
2620,850.9346983328556
1924,857.3647428496843
12650,397.28049745618625
11699,416.8011051494493
4297,628.4292458675463
12435,369.27420905215035
4092,372.64199732332213
400,206.5854420962096
4801,352.40727340512626
11378,483.2855450194272
8328,964.5268524452827
7808,362.8186551041919
13578,449.5992037773268
13020,145.6696162326905
6346,810.5019090306735
3014,393.42605899210844
8117,235.59412791128398
7525,610.528990745726
13577,184.2261687050866
11472,208.08914767080125
9461,416.18835815429037
11815,353.07009440418534
3345,652.5050529518961
12663,1240.9395624501449
13302,632.8964313267829
291,349.6417515407006
8240,698.1161759420086
13184,601.2619079324838
7310,406.26530019292386
2819,290.8407606184984
3406,307.5461834300166
3543,300.0462762670586
8359,408.8049894556047
1689,668.9479645702044
11850,217.03601047958904
11018,394.2395000299522
6426,421.71901217554375
8280,571.6758034531268
7568,442.21583507864113
8539,617.7924425533167
3032,468.3063503754906
3596,339.2177763451063
7597,1364.845573459875
5730,283.8956416536117
13214,299.6506882222566
609,307.3337261834513
7751,1286.6163328523642
12177,479.75661478481936
9623,372.4983372766211
13033,171.6970931570412
13331,423.1334771191771
6196,854.9748232758843
5480,1405.8172448973792
1845,450.0374535111258
2770,523.2032598735512
8251,528.8470049922204
10862,465.1488345422397
1744,821.0948907043901
9367,645.2721354451787
6089,1132.8854071485512
3618,372.15369364287847
10180,407.6418051513518
11445,658.7611541363988
13836,314.1782577772148
